system   D            wsystem.c:583  maybe_parent_dir                 [   0.00122] Also searching A:\Projekt Statki c++\STATKI_KOD\
system   D            wsystem.c:630  _al_win_safe_load_library        [   0.00145] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00147] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.00805] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:879  _al_d3d_init_display             [   0.04367] Render-to-texture: 1
system   I             system.c:270  al_install_system                [   0.04370] Allegro version: 5.0.4
d3d      I         d3d_disp.cpp:1919 d3d_create_display_locked        [   0.05099] faux_fullscreen=0
display  D   display_settings.c:486  _al_score_display_settings       [   0.07517] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.07520] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.07521] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.07521] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.07522] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07523] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.07524] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.07525] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07525] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.07526] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.07527] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07528] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.07528] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.07529] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07530] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.07531] Score is : 726
display  D   display_settings.c:357  _al_score_display_settings       [   0.07532] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07532] Single Buffer requirement not met.
