system   D            wsystem.c:583  maybe_parent_dir                 [   0.00060] Also searching A:\Projekt Statki c++\STATKI_KOD\
system   D            wsystem.c:630  _al_win_safe_load_library        [   0.00075] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00076] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.00611] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:879  _al_d3d_init_display             [   0.04102] Render-to-texture: 1
system   I             system.c:270  al_install_system                [   0.04105] Allegro version: 5.0.4
d3d      I         d3d_disp.cpp:1919 d3d_create_display_locked        [   0.04710] faux_fullscreen=0
display  D   display_settings.c:486  _al_score_display_settings       [   0.07153] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.07155] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.07156] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.07157] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.07158] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07159] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.07160] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.07161] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07161] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.07162] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.07163] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07164] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.07165] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.07165] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07166] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.07167] Score is : 726
display  D   display_settings.c:357  _al_score_display_settings       [   0.07168] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07169] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07169] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07170] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07171] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07172] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07173] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07174] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07174] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07175] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07176] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07177] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07178] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07179] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07179] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07184] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.07185] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07186] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07187] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07188] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07188] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07189] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.07190] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.07191] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.07192] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.07192] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.07193] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.07194] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.07195] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.07195] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.07196] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.07197] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.07198] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.07199] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.07199] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.07200] Score is : 598
display  D   display_settings.c:357  _al_score_display_settings       [   0.07201] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07202] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07203] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07203] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07204] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07205] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07206] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07207] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07208] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07208] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07209] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07210] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07211] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07212] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07213] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07213] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07214] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07215] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07216] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07217] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.07218] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.07219] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.07220] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.07220] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.07221] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.07222] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.07223] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.07224] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07224] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.07225] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.07226] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07227] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.07227] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.07228] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07229] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.07230] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.07231] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07231] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.07232] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.07233] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07234] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.07235] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.07235] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07236] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.07237] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.07238] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07238] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.07239] Score is : 726
display  D   display_settings.c:357  _al_score_display_settings       [   0.07240] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07241] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07242] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07243] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07243] Single Buffer requirement not met.
